brand,engine_displacement,fuel_type,insurance,kms_driven,location,model,ownership,price,registration_year,seats,transmission
20,2987.0,1,1,93999,10,40,1,3400000.0,2015,7,0
29,2494.0,1,0,118000,10,966,1,894999.9999999999,2014,7,1
18,998.0,4,1,15344,10,1375,1,407000.0,2021,5,0
18,1248.0,1,1,45000,10,1812,1,844999.9999999999,2018,5,0
12,1999.0,1,0,35000,10,1921,3,1925000.0,2017,5,0
18,1197.0,4,1,56000,10,239,1,625000.0,2018,5,1
30,1197.0,4,0,72000,10,1208,1,695000.0,2017,5,0
15,2993.0,1,1,62000,10,1293,1,8999000.0,2019,5,0
18,998.0,4,1,11381,10,337,1,625000.0,2022,5,1
17,1497.0,1,1,29183,10,1949,1,995000.0,2021,5,1
9,1498.0,1,0,74686,10,190,1,585000.0,2018,5,0
2,1995.0,1,1,91000,10,1871,1,2099000.0,2017,5,0
21,1451.0,4,1,12900,10,829,1,1795000.0,2022,6,0
27,1798.0,4,0,99000,10,1520,3,400000.0,2012,5,0
10,1186.0,1,0,59982,10,776,1,565000.0,2017,5,1
20,1950.0,1,2,30000,10,687,1,4199000.0,2019,5,0
8,1196.0,4,0,49000,10,710,3,499000.0,2018,5,1
10,1493.0,1,1,36000,10,508,3,1795000.0,2022,5,0
18,1197.0,4,1,81000,10,1561,1,425000.0,2013,5,1
9,1199.0,4,1,53000,10,190,1,645000.0,2018,5,0
10,1197.0,4,0,45322,10,771,1,356000.0,2015,5,1
18,1373.0,4,1,64000,10,370,1,515000.00000000006,2014,5,1
8,1497.0,4,1,15100,10,608,1,775000.0,2019,5,1
18,998.0,4,0,46436,10,338,4,375000.0,2018,5,0
18,1462.0,4,1,17710,10,1810,1,1050000.0,2021,5,0
2,2993.0,1,0,54100,10,65,1,2350000.0,2015,5,0
28,1199.0,4,1,58000,10,1637,1,425000.0,2017,5,0
15,4367.0,1,1,121000,10,1297,1,1475000.0,2012,7,0
9,1497.0,4,1,22708,10,392,1,894999.9999999999,2019,5,0
2,1995.0,1,0,54000,10,14,3,1689999.9999999998,2017,5,0
