Brand,Engine_Displacement,Fuel_Type,Insurance,Kms_Driven,Location,Model,Ownership,Price,Registration_Year,Seats,Transmission
28,1199 cc,4,1,77961,10,1663,1,362000.0,2018,5,1
10,1353 cc,4,0,41452,10,551,1,1595000.0,2022,5,0
18,2179 cc,1,0,42071,10,1999,3,550000.0,2014,7,1
18,1497 cc,1,3,58797,10,1109,3,850000.0,2021,7,1
10,1497 cc,4,1,8300,10,549,1,1895000.0,2023,5,0
17,1956 cc,2,0,27153,10,2043,1,1800000.0,2022,5,0
13,1956 cc,1,0,52373,10,469,1,1150000.0,2018,5,1
9,1498 cc,1,0,88000,10,202,1,745000.0,2018,5,0
9,1497 cc,4,2,63088,10,442,1,666000.0,2017,5,0
19,998 cc,4,0,27270,10,1879,1,575000.0,2023,5,1
9,1198 cc,4,2,54000,10,289,3,311000.0,2016,5,0
10,1582 cc,1,1,92000,10,509,1,1149000.0,2018,5,0
19,1197 cc,4,0,43351,10,1576,1,396000.0,2015,5,1
9,1497 cc,4,0,48000,10,441,1,811000.0,2019,5,0
17,1497 cc,2,0,21000,10,2043,1,1800000.0,2022,5,0
9,1497 cc,4,0,67298,10,429,1,497000.0,2016,5,0
12,1999 cc,1,0,58100,10,736,3,3550000.0,2018,5,0
18,1997 cc,4,3,10442,10,1651,1,1244000.0,2021,4,0
18,2179 cc,1,2,90000,10,1983,1,850000.0,2016,7,0
27,1798 cc,4,1,66000,10,1183,1,1700000.0,2019,5,0
10,998 cc,4,1,23502,10,1774,1,1075000.0,2022,5,0
22,1998 cc,4,0,60000,10,505,1,2499000.0,2018,5,0
26,999 cc,4,0,12619,10,1025,3,352000.0,2020,5,0
10,1591 cc,4,1,77394,10,1794,3,440000.00000000006,2013,5,1
17,1451 cc,4,1,13900,10,887,1,1695000.0,2022,5,0
27,1968 cc,1,0,46000,10,1530,1,975000.0,2015,5,0
19,1197 cc,4,1,30000,10,256,1,525000.0,2020,5,1
10,1197 cc,4,2,12993,10,2109,1,471000.0,2018,5,1
13,1368 cc,4,0,37318,10,476,1,1300000.0,2019,5,0
30,1968 cc,1,0,66000,10,1704,4,1425000.0,2017,5,0
19,1248 cc,1,1,85000,10,696,1,665000.0,2015,7,1
28,1497 cc,1,2,29463,10,1176,1,1121000.0,2023,5,0
10,1591 cc,4,1,56000,10,517,3,825000.0,2018,5,1
9,1498 cc,4,0,32000,10,417,1,970000.0,2020,5,0
18,2179 cc,1,0,96000,10,1996,1,725000.0,2016,7,1
17,998 cc,2,1,41030,10,2044,1,2100000.0,2023,5,0
10,998 cc,4,3,11402,10,1778,1,900000.0,2021,5,1
9,1497 cc,4,0,37000,10,417,1,975000.0,2019,5,0
26,999 cc,4,1,44284,10,1029,1,328000.0,2020,5,0
15,1999 cc,1,1,105000,10,579,1,2750000.0,2017,5,0
19,1462 cc,4,0,59209,10,375,1,744000.0,2019,5,1
9,1199 cc,4,1,40000,10,1862,3,560000.0,2017,5,1
10,1197 cc,0,3,27125,10,824,1,455000.0,2019,5,1
10,1197 cc,4,0,38987,10,830,1,479000.0,2015,5,0
19,1248 cc,1,1,98000,10,388,1,599000.0,2015,5,1
0,2967 cc,1,1,44000,10,1269,1,6995000.0,2020,7,0
19,1197 cc,4,0,31000,10,1576,1,345000.0,2013,5,1
19,1462 cc,4,1,38000,10,1964,1,1025000.0,2020,6,0
18,2179 cc,1,1,72000,10,1984,3,999000.0,2016,7,0
19,998 cc,4,0,38170,10,359,3,395000.0,2017,5,0
19,998 cc,4,0,20624,10,363,1,515000.00000000006,2020,5,0
21,2143 cc,1,1,73750,10,0,3,3600000.0,2017,5,0
28,1493 cc,2,1,50383,10,1149,1,995000.0,2022,5,0
10,1493 cc,1,0,7000,10,138,1,2250000.0,2024,6,0
9,1497 cc,4,1,69066,10,433,1,364000.0,2014,5,1
18,2179 cc,1,1,42000,10,2003,1,695000.0,2015,7,1
21,2143 cc,1,0,47000,10,451,1,1595000.0,2014,5,0
28,1956 cc,1,0,26000,10,867,1,2150000.0,2022,5,0
10,1197 cc,4,2,58000,10,834,1,461000.00000000006,2016,5,0
19,1197 cc,4,0,46000,10,1576,1,675000.0,2020,5,1
10,1197 cc,4,1,42767,10,2101,1,350000.0,2014,5,1
9,1199 cc,4,3,25169,10,203,1,648000.0,2021,5,1
10,1591 cc,4,0,43000,10,523,1,1099000.0,2019,5,0
9,1497 cc,4,0,47843,10,411,3,335000.0,2012,5,1
17,1996 cc,1,1,29170,10,809,1,3200000.0,2021,6,0
19,1248 cc,1,2,87000,10,1849,3,875000.0,2018,5,0
18,1197 cc,4,1,13987,10,1976,1,983000.0,2022,5,0
19,1197 cc,4,2,56000,10,1604,3,385000.0,2014,5,1
10,1582 cc,1,1,49958,10,514,1,945000.0,2017,5,1
19,1462 cc,4,1,14500,10,376,1,1145000.0,2023,5,0
19,1197 cc,4,0,58014,10,1576,3,399000.0,2013,5,1
9,1497 cc,4,0,48000,10,411,1,364000.0,2013,5,1
19,1197 cc,4,2,99005,10,1584,3,350000.0,2014,5,1
19,1197 cc,4,1,75000,10,1576,1,445000.0,2014,5,1
29,1496 cc,4,1,78156,10,2035,1,660000.0,2018,5,0
30,1498 cc,1,0,36432,10,218,3,520000.0,2016,5,0
19,1197 cc,4,0,51000,10,1576,1,470000.0,2017,5,1
15,2993 cc,1,0,59000,10,1282,1,12800000.0,2018,5,0
27,1984 cc,4,1,39000,10,1057,1,3495000.0000000005,2022,7,0
21,1950 cc,1,0,36000,10,725,1,4050000.0,2019,5,0
19,998 cc,0,1,42000,10,1865,1,590000.0,2021,5,1
19,1462 cc,4,1,23035,10,697,1,950000.0,2021,7,1
10,1197 cc,4,0,51195,10,829,3,469000.00000000006,2018,5,0
19,998 cc,0,1,12700,10,1870,1,540000.0,2019,5,1
1,2993 cc,1,1,52000,10,65,1,4350000.0,2018,4,0
19,1462 cc,4,1,22500,10,394,1,1080000.0,2022,5,0
21,1950 cc,1,0,21000,10,725,1,4275000.0,2020,5,0
9,1199 cc,4,0,50000,10,985,3,390000.0,2015,5,1
18,2179 cc,1,0,54147,10,1985,1,811000.0,2017,7,0
18,2498 cc,1,1,53517,10,2031,1,411000.00000000006,2012,7,1
30,1498 cc,1,2,75000,10,219,3,640000.0,2019,5,1
9,1498 cc,1,2,80000,10,1860,1,715000.0,2018,5,1
10,1591 cc,4,1,99000,10,523,1,995000.0,2018,5,0
30,999 cc,4,0,23845,10,1628,1,1298000.0,2023,5,0
26,999 cc,4,1,3900,10,1018,1,395000.0,2019,5,0
14,2199 cc,1,1,49000,10,333,1,3150000.0,2021,7,0
9,1199 cc,4,1,28000,10,1862,1,715000.0,2017,5,1
17,1451 cc,4,1,33000,10,886,1,1275000.0,2019,5,0
19,1197 cc,4,3,50457,10,250,1,505000.0,2018,5,0
10,1591 cc,4,0,37926,10,527,1,949000.0,2017,5,0
29,2755 cc,1,0,45000,10,974,1,1850000.0,2016,7,0
26,999 cc,4,0,14777,10,1715,3,570000.0,2021,7,0
10,1197 cc,4,1,22660,10,824,1,475000.0,2019,5,1
19,1462 cc,4,3,33827,10,376,1,739000.0,2021,5,0
27,1968 cc,1,1,84000,10,1188,3,699000.0,2016,5,0
15,2993 cc,1,1,55752,10,1297,3,2199000.0,2013,5,0
27,1498 cc,4,0,14000,10,1489,1,1650000.0,2024,5,0
19,998 cc,4,0,1500,10,1879,1,700000.0,2024,5,1
28,1199 cc,4,0,15000,10,1165,1,1145000.0,2022,5,1
19,998 cc,0,1,94469,10,1865,1,430000.0,2019,5,1
10,1591 cc,4,0,45000,10,532,1,945000.0,2019,5,1
1,1995 cc,1,1,71300,10,29,3,2000000.0,2016,5,0
31,1969 cc,1,1,48000,10,1934,1,4595000.0,2016,7,0
29,1496 cc,4,0,35000,10,2035,1,745000.0,2018,5,0
29,2494 cc,1,0,92000,10,937,1,875000.0,2015,7,1
